Content,Article Number,Article Name,Chapter Number,Chapter Name,Article Word Count,Question,Answer,Question Word Count,Answer Word Count
"
Article 1
Subject-matter and objectives

1. This Regulation lays down rules relating to the protection of natural persons with regard to the processing of
   personal data and rules relating to the free movement of personal data.
2. This Regulation protects fundamental rights and freedoms of natural persons and in particular their right to the
   protection of personal data.
3. The free movement of personal data within the Union shall be neither restricted nor prohibited for reasons
   connected with the protection of natural persons with regard to the processing of personal data.
",1,Subject-matter and objectives,1,General provisions,91,What is the purpose of GDPR?,The purpose of GDPR is to lay down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data.,6,34
"
Article 2
Material scope

1. This Regulation applies to the processing of personal data wholly or partly by automated means and to the
   processing other than by automated means of personal data which form part of a filing system or are intended to form
   part of a filing system.
2. This Regulation does not apply to the processing of personal data:
   (a) in the course of an activity which falls outside the scope of Union law;
   (b) by the Member States when carrying out activities which fall within the scope of Chapter 2 of Title V of the TEU;
   (c) by a natural person in the course of a purely personal or household activity;
   (d) by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal
       offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to
       public security.
3. For the processing of personal data by the Union institutions, bodies, offices and agencies, Regulation (EC)
   No 45/2001 applies. Regulation (EC) No 45/2001 and other Union legal acts applicable to such processing of personal
   data shall be adapted to the principles and rules of this Regulation in accordance with Article 98.
4. This Regulation shall be without prejudice to the application of Directive 2000/31/EC, in particular of the liability
   rules of intermediary service providers in Articles 12 to 15 of that Directive.
",2,Material scope,1,General provisions,232,What is the scope of GDPR?,GDPR applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system.,6,43
"
Article 3
Territorial scope

1. This Regulation applies to the processing of personal data in the context of the activities of an establishment of a
   controller or a processor in the Union, regardless of whether the processing takes place in the Union or not. 
2. This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or
   processor not established in the Union, where the processing activities are related to:
   (a) the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data
       subjects in the Union; or
   (b) the monitoring of their behaviour as far as their behaviour takes place within the Union.
3. This Regulation applies to the processing of personal data by a controller not established in the Union, but in a
   place where Member State law applies by virtue of public international law.
",3,Territorial scope,1,General provisions,154,What is the territorial scope of GDPR?,"GDPR applies to the processing of personal data in the context of the activities of an establishment of a controller or a processor in the Union, regardless of whether the processing takes place in the Union or not.",7,38
"
Article 4
Definitions

For the purposes of this Regulation:
(1) ‘personal data’ means any information relating to an identified or identifiable natural person (‘data subject’); an
    identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an
    identifier such as a name, an identification number, location data, an online identifier or to one or more factors
    specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person;
(2) ‘processing’ means any operation or set of operations which is performed on personal data or on sets of personal
    data, whether or not by automated means, such as collection, recording, organisation, structuring, storage,
    adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making
    available, alignment or combination, restriction, erasure or destruction;
(3) ‘restriction of processing’ means the marking of stored personal data with the aim of limiting their processing in
    the future;
(4) ‘profiling’ means any form of automated processing of personal data consisting of the use of personal data to
    evaluate certain personal aspects relating to a natural person, in particular to analyse or predict aspects concerning
    that natural person's performance at work, economic situation, health, personal preferences, interests, reliability,
    behaviour, location or movements;
(5) ‘pseudonymisation’ means the processing of personal data in such a manner that the personal data can no longer
    be attributed to a specific data subject without the use of additional information, provided that such additional
    information is kept separately and is subject to technical and organisational measures to ensure that the personal
    data are not attributed to an identified or identifiable natural person;
(6) ‘filing system’ means any structured set of personal data which are accessible according to specific criteria, whether
    centralised, decentralised or dispersed on a functional or geographical basis;
(7) ‘controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with
    others, determines the purposes and means of the processing of personal data; where the purposes and means of
    such processing are determined by Union or Member State law, the controller or the specific criteria for its
    nomination may be provided for by Union or Member State law;
(8) ‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data
    on behalf of the controller;
(9) ‘recipient’ means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not. However, public authorities which may receive personal data in the
    framework of a particular inquiry in accordance with Union or Member State law shall not be regarded as
    recipients; the processing of those data by those public authorities shall be in compliance with the applicable data
    protection rules according to the purposes of the processing;
(10) ‘third party’ means a natural or legal person, public authority, agency or body other than the data subject,
     controller, processor and persons who, under the direct authority of the controller or processor, are authorised to
     process personal data;
(11) ‘consent’ of the data subject means any freely given, specific, informed and unambiguous indication of the data
     subject's wishes by which he or she, by a statement or by a clear affirmative action, signifies agreement to the
     processing of personal data relating to him or her;
(12) ‘personal data breach’ means a breach of security leading to the accidental or unlawful destruction, loss, alteration,
     unauthorised disclosure of, or access to, personal data transmitted, stored or otherwise processed;
(13) ‘genetic data’ means personal data relating to the inherited or acquired genetic characteristics of a natural person
     which give unique information about the physiology or the health of that natural person and which result, in
     particular, from an analysis of a biological sample from the natural person in question;
(14) ‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, which allow or confirm the unique identification of that
     natural person, such as facial images or dactyloscopic data;
(15) ‘data concerning health’ means personal data related to the physical or mental health of a natural person, including
     the provision of health care services, which reveal information about his or her health status;
(16) ‘main establishment’ means:
    (a) as regards a controller with establishments in more than one Member State, the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are
        taken in another establishment of the controller in the Union and the latter establishment has the power to
        have such decisions implemented, in which case the establishment having taken such decisions is to be
        considered to be the main establishment;
    (b) as regards a processor with establishments in more than one Member State, the place of its central administration in the Union, or, if the processor has no central administration in the Union, the establishment of the
        processor in the Union where the main processing activities in the context of the activities of an establishment
        of the processor take place to the extent that the processor is subject to specific obligations under this
        Regulation;
(17) ‘representative’ means a natural or legal person established in the Union who, designated by the controller or
     processor in writing pursuant to Article 27, represents the controller or processor with regard to their respective
     obligations under this Regulation;
(18) ‘enterprise’ means a natural or legal person engaged in an economic activity, irrespective of its legal form, including
     partnerships or associations regularly engaged in an economic activity;
",4,Definitions,1,General provisions,935,What is the definition of personal data according to GDPR?,"Personal data means any information relating to an identified or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person.",10,69
"
Article 4 (continued)
Definitions

For the purposes of this Regulation:
(19) ‘group of undertakings’ means a controlling undertaking and its controlled undertakings;
(20) ‘binding corporate rules’ means personal data protection policies which are adhered to by a controller or processor
    established on the territory of a Member State for transfers or a set of transfers of personal data to a controller or
    processor in one or more third countries within a group of undertakings, or group of enterprises engaged in a
    joint economic activity;
(21) ‘supervisory authority’ means an independent public authority which is established by a Member State pursuant to
    Article 51; 
(22) ‘supervisory authority concerned’ means a supervisory authority which is concerned by the processing of personal
    data because:
    (a) the controller or processor is established on the territory of the Member State of that supervisory authority;
    (b) data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be
        substantially affected by the processing; or
    (c) a complaint has been lodged with that supervisory authority;
(23) ‘cross-border processing’ means either:
    (a) processing of personal data which takes place in the context of the activities of establishments in more than
        one Member State of a controller or processor in the Union where the controller or processor is established in
        more than one Member State; or
    (b) processing of personal data which takes place in the context of the activities of a single establishment of a
        controller or processor in the Union but which substantially affects or is likely to substantially affect data
        subjects in more than one Member State.
(24) ‘relevant and reasoned objection’ means an objection to a draft decision as to whether there is an infringement of
    this Regulation, or whether envisaged action in relation to the controller or processor complies with this
    Regulation, which clearly demonstrates the significance of the risks posed by the draft decision as regards the
    fundamental rights and freedoms of data subjects and, where applicable, the free flow of personal data within the
    Union;
(25) ‘information society service’ means a service as defined in point (b) of Article 1(1) of Directive (EU) 2015/1535 of
    the European Parliament and of the Council (
    1
    );
(26) ‘international organisation’ means an organisation and its subordinate bodies governed by public international law,
    or any other body which is set up by, or on the basis of, an agreement between two or more countries.
",4,Definitions,1,General provisions,405,What is the definition of 'group of undertakings' according to GDPR?,"For the purposes of this Regulation, 'group of undertakings' means a controlling undertaking and its controlled undertakings.",11,17
"
Article 5
Principles relating to processing of personal data

1. Personal data shall be:
   (a) processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and
       transparency’);
   (b) collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible
       with those purposes; further processing for archiving purposes in the public interest, scientific or historical research
       purposes or statistical purposes shall, in accordance with Article 89(1), not be considered to be incompatible with
       the initial purposes (‘purpose limitation’);
   (c) adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data
       minimisation’);
   (d) accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that
       are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay
       (‘accuracy’); 
   (e) kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for
       which the personal data are processed; personal data may be stored for longer periods insofar as the personal data
       will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or
       statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and
       organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject
       (‘storage limitation’);
   (f) processed in a manner that ensures appropriate security of the personal data, including protection against
       unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical
       or organisational measures (‘integrity and confidentiality’).
2. The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 (‘accountability’).
",5,Principles relating to processing of personal data,2,Principles,295,What are the six principles relating to processing of personal data according to GDPR?,"The six principles relating to processing of personal data according to GDPR are: lawfulness, fairness and transparency; purpose limitation; data minimisation; accuracy; storage limitation; and integrity and confidentiality.",14,28
"
Article 6
Lawfulness of processing

1. Processing shall be lawful only if and to the extent that at least one of the following applies:
   (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes;
   (b) processing is necessary for the performance of a contract to which the data subject is party or in order to take steps
       at the request of the data subject prior to entering into a contract;
   (c) processing is necessary for compliance with a legal obligation to which the controller is subject;
   (d) processing is necessary in order to protect the vital interests of the data subject or of another natural person;
   (e) processing is necessary for the performance of a task carried out in the public interest or in the exercise of official
       authority vested in the controller;
   (f) processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party,
       except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject
       which require protection of personal data, in particular where the data subject is a child.
   Point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of
   their tasks.
2. Member States may maintain or introduce more specific provisions to adapt the application of the rules of this
   Regulation with regard to processing for compliance with points (c) and (e) of paragraph 1 by determining more
   precisely specific requirements for the processing and other measures to ensure lawful and fair processing including for
   other specific processing situations as provided for in Chapter IX.
3. The basis for the processing referred to in point (c) and (e) of paragraph 1 shall be laid down by:
   (a) Union law; or
   (b) Member State law to which the controller is subject.
   The purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e)
   of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of
   official authority vested in the controller. That legal basis may contain specific provisions to adapt the application of
   rules of this Regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the
   types of data which are subject to the processing; the data subjects concerned; the entities to, and the purposes for
   which, the personal data may be disclosed; the purpose limitation; storage periods; and processing operations and
   processing procedures, including measures to ensure lawful and fair processing such as those for other specific
   processing situations as provided for in Chapter IX. The Union or the Member State law shall meet an objective of
   public interest and be proportionate to the legitimate aim pursued.
4. Where the processing for a purpose other than that for which the personal data have been collected is not based
   on the data subject's consent or on a Union or Member State law which constitutes a necessary and proportionate
   measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to
   ascertain whether processing for another purpose is compatible with the purpose for which the personal data are
   initially collected, take into account, inter alia:
   (a) any link between the purposes for which the personal data have been collected and the purposes of the intended
       further processing;
   (b) the context in which the personal data have been collected, in particular regarding the relationship between data
       subjects and the controller;
   (c) the nature of the personal data, in particular whether special categories of personal data are processed, pursuant to
       Article 9, or whether personal data related to criminal convictions and offences are processed, pursuant to Article
       10;
   (d) the possible consequences of the intended further processing for data subjects;
   (e) the existence of appropriate safeguards, which may include encryption or pseudonymisation.
",6,Lawfulness of processing,2,Principles,671,Under what circumstances is processing of personal data considered lawful?,"Processing of personal data is considered lawful if at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes; (b) processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract; (c) processing is necessary for compliance with a legal obligation to which the controller is subject; (d) processing is necessary in order to protect the vital interests of the data subject or of another natural person; (e) processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller; (f) processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.",10,189
"
Article 7
Conditions for consent

1. Where processing is based on consent, the controller shall be able to demonstrate that the data subject has
   consented to processing of his or her personal data.
2. If the data subject's consent is given in the context of a written declaration which also concerns other matters, the
   request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an
   intelligible and easily accessible form, using clear and plain language. Any part of such a declaration which constitutes
   an infringement of this Regulation shall not be binding.
3. The data subject shall have the right to withdraw his or her consent at any time. The withdrawal of consent shall
   not affect the lawfulness of processing based on consent before its withdrawal. Prior to giving consent, the data subject
   shall be informed thereof. It shall be as easy to withdraw as to give consent.
4. When assessing whether consent is freely given, utmost account shall be taken of whether, inter alia, the
   performance of a contract, including the provision of a service, is conditional on consent to the processing of personal
   data that is not necessary for the performance of that contract.
",7,Conditions for consent,2,Principles,204,What is the purpose of Article 7 of GDPR?,Article 7 of GDPR outlines the conditions for obtaining valid consent from a data subject for the processing of their personal data.,9,22
"
Article 8
Conditions applicable to child's consent in relation to information society services

1. Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child,
   the processing of the personal data of a child shall be lawful where the child is at least 16 years old. Where the child is
   below the age of 16 years, such processing shall be lawful only if and to the extent that consent is given or authorised
   by the holder of parental responsibility over the child.
   Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13
   years.
2. The controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the
   holder of parental responsibility over the child, taking into consideration available technology.
3. Paragraph 1 shall not affect the general contract law of Member States such as the rules on the validity, formation
   or effect of a contract in relation to a child. 
",8,Conditions applicable to child's consent in relation to information society services,2,Principles,177,What is the age limit for a child to give consent for processing their personal data in relation to information society services?,"If point (a) of Article 6(1) applies and the information society services are offered directly to a child, the processing of personal data of a child shall be lawful if the child is at least 16 years old. If the child is below 16 years old, such processing shall be lawful only if and to the extent that consent is given or authorized by the holder of parental responsibility over the child. Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13 years.",22,95
"
Article 9
Processing of special categories of personal data

1. Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or
   trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a
   natural person, data concerning health or data concerning a natural person's sex life or sexual orientation shall be
   prohibited.
2. Paragraph 1 shall not apply if one of the following applies:
   (a) the data subject has given explicit consent to the processing of those personal data for one or more specified
       purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not
       be lifted by the data subject;
   (b) processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the
       controller or of the data subject in the field of employment and social security and social protection law in so far as
       it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for
       appropriate safeguards for the fundamental rights and the interests of the data subject;
   (c) processing is necessary to protect the vital interests of the data subject or of another natural person where the data
       subject is physically or legally incapable of giving consent;
   (d) processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation,
       association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on
       condition that the processing relates solely to the members or to former members of the body or to persons who
       have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that
       body without the consent of the data subjects;
   (e) processing relates to personal data which are manifestly made public by the data subject;
   (f) processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in
       their judicial capacity;
   (g) processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which
       shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for
       suitable and specific measures to safeguard the fundamental rights and the interests of the data subject;
   (h) processing is necessary for the purposes of preventive or occupational medicine, for the assessment of the working
       capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management
       of health or social care systems and services on the basis of Union or Member State law or pursuant to contract
       with a health professional and subject to the conditions and safeguards referred to in paragraph 3;
   (i) processing is necessary for reasons of public interest in the area of public health, such as protecting against serious
       cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal
       products or medical devices, on the basis of Union or Member State law which provides for suitable and specific
       measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy; 
   (j) processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or
       statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific
       measures to safeguard the fundamental rights and the interests of the data subject.
3. Personal data referred to in paragraph 1 may be processed for the purposes referred to in point (h) of paragraph 2
   when those data are processed by or under the responsibility of a professional subject to the obligation of professional
   secrecy under Union or Member State law or rules established by national competent bodies or by another person also
   subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies.
4. Member States may maintain or introduce further conditions, including limitations, with regard to the processing
   of genetic data, biometric data or data concerning health.
",9,Processing of special categories of personal data,2,Principles,714,What types of personal data processing are prohibited by GDPR?,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person's sex life or sexual orientation shall be prohibited.",10,53
